"month","day","carrier","origin","orstate","dest","deststate","depart","delay","duration","distance"
"5","4","AA","DCA","VA","CLT","NC",499,0,57,331
"6","5","YX","DCA","VA","MYR","SC",509,0,62,372
"4","7","WN","DCA","VA","BNA","TN",385,0,100,562
"5","7","OH","DCA","VA","ORF","VA",1190,0,37,142
"8","6","AA","DCA","VA","JFK","NY",1238,0,45,213
"4","1","YX","DCA","VA","BDL","CT",1279,0,59,313
"7","4","YX","DCA","VA","JAX","FL",819,0,91,634
"7","6","AA","DCA","VA","MIA","FL",414,0,136,919
"6","2","YX","DCA","VA","CAE","SC",823,0,62,408
"8","4","MQ","DCA","VA","DTW","MI",910,0,62,405
"5","2","AA","DCA","VA","DFW","TX",637,1,201,1192
"8","4","AA","DCA","VA","BOS","MA",1358,0,65,399
"7","1","YX","DCA","VA","BNA","TN",1272,1,81,562
"8","3","OH","DCA","VA","ALB","NY",1317,0,58,318
"5","1","WN","DCA","VA","MDW","IL",760,0,96,601
"8","7","YX","DCA","VA","SDF","KY",1256,1,76,474
"5","3","DL","DCA","VA","ATL","GA",354,0,96,547
"5","7","YX","DCA","VA","BUF","NY",1376,1,51,296
"6","7","AA","DCA","VA","TPA","FL",1214,0,119,814
"4","2","OH","DCA","VA","BGR","ME",835,0,91,590
"5","1","WN","DCA","VA","MDW","IL",370,0,91,601
"4","2","MQ","DCA","VA","CVG","KY",599,0,67,411
"5","3","YX","DCA","VA","IND","IN",590,0,91,500
"7","2","YX","DCA","VA","BDL","CT",601,0,55,313
"8","4","YX","DCA","VA","EYW","FL",503,0,143,1023
"4","4","OH","DCA","VA","TYS","TN",1209,1,70,437
"5","1","AA","DCA","VA","MIA","FL",806,0,140,919
"6","5","YX","DCA","VA","PIT","PA",1191,0,40,204
"8","1","AA","DCA","VA","BOS","MA",1343,0,61,399
"8","6","OH","DCA","VA","MSY","LA",834,0,126,969
"8","3","YX","DCA","VA","RSW","FL",873,1,142,892
"4","1","OH","DCA","VA","TYS","TN",1167,1,65,437
"8","5","OH","DCA","VA","PVD","RI",612,0,62,356
"5","1","UA","DCA","VA","DEN","CO",985,0,202,1476
"4","4","YX","DCA","VA","RSW","FL",498,0,136,892
"5","4","OH","DCA","VA","CHS","SC",1015,0,63,444
"8","5","AA","DCA","VA","CLT","NC",654,0,56,331
"7","4","YX","DCA","VA","BNA","TN",935,0,82,562
"7","6","DL","DCA","VA","DTW","MI",1262,1,68,405
"5","1","DL","DCA","VA","SLC","UT",1037,0,265,1851
"4","5","B6","DCA","VA","BOS","MA",678,0,64,399
"4","1","AA","DCA","VA","ORD","IL",1080,0,92,612
"5","4","AA","DCA","VA","DFW","TX",942,0,170,1192
"6","2","AA","DCA","VA","DFW","TX",830,1,148,1192
"6","7","AA","DCA","VA","MCO","FL",824,1,108,759
"8","3","WN","DCA","VA","DAL","TX",1066,0,152,1184
"8","2","YV","DCA","VA","IAH","TX",775,0,154,1208
"6","1","AA","DCA","VA","MIA","FL",941,0,130,919
"8","7","WN","DCA","VA","MCO","FL",772,0,110,759
"6","2","YX","DCA","VA","CHS","SC",1069,1,70,444
"4","5","OH","DCA","VA","MSP","MN",827,0,128,931
"4","4","YX","DCA","VA","RDU","NC",1192,0,46,227
"8","2","DL","DCA","VA","SLC","UT",1031,0,249,1851
"8","4","OH","DCA","VA","JAN","MS",1202,0,117,860
"5","6","OH","DCA","VA","BNA","TN",718,0,86,562
"8","7","YX","DCA","VA","PVD","RI",905,0,62,356
"8","4","YX","DCA","VA","BNA","TN",1205,0,87,562
"4","3","YX","DCA","VA","PNS","FL",550,0,118,816
"5","2","WN","DCA","VA","AUS","TX",1061,0,184,1315
"8","2","OH","DCA","VA","PHL","PA",1006,0,26,119
"7","2","AA","DCA","VA","LAX","CA",522,0,270,2311
"4","7","OH","DCA","VA","ALB","NY",1386,1,58,318
"5","7","OH","DCA","VA","GSP","SC",498,0,60,396
"8","1","YV","DCA","VA","IAH","TX",503,0,155,1208
"7","3","MQ","DCA","VA","IND","IN",595,0,76,500
"8","3","DL","DCA","VA","MSP","MN",790,0,125,931
"8","3","MQ","DCA","VA","CMH","OH",906,1,57,323
"6","6","AA","DCA","VA","LAX","CA",533,0,277,2311
"7","2","AA","DCA","VA","MCO","FL",1073,0,110,759
"4","4","DL","DCA","VA","ATL","GA",720,0,87,547
"8","4","AA","DCA","VA","CLT","NC",516,0,60,331
"5","2","WN","DCA","VA","BNA","TN",1142,0,98,562
"6","4","WN","DCA","VA","BNA","TN",1144,0,81,562
"5","4","B6","DCA","VA","TPA","FL",950,0,107,814
"7","3","AS","DCA","VA","SEA","WA",1063,1,346,2329
"7","5","WN","DCA","VA","ATL","GA",945,0,77,547
"8","1","OH","DCA","VA","PHL","PA",728,0,32,119
"6","3","B6","DCA","VA","FLL","FL",411,0,123,899
"5","1","AA","DCA","VA","BOS","MA",1282,0,67,399
"7","1","DL","DCA","VA","MSP","MN",454,0,126,931
"7","3","YX","DCA","VA","BOS","MA",417,0,60,399
"4","4","AS","DCA","VA","SEA","WA",475,1,332,2329
"6","7","AA","DCA","VA","CLT","NC",989,1,50,331
"5","2","AA","DCA","VA","CLT","NC",393,0,68,331
"4","7","AA","DCA","VA","DFW","TX",534,0,190,1192
"4","6","YX","DCA","VA","BOS","MA",593,0,68,399
"6","5","B6","DCA","VA","SJU","PR",482,0,203,1554
"6","1","AA","DCA","VA","BOS","MA",1325,0,64,399
"6","6","AA","DCA","VA","MIA","FL",360,0,128,919
"5","2","OH","DCA","VA","PHL","PA",764,0,39,119
"5","4","AA","DCA","VA","BOS","MA",597,0,61,399
"7","6","AA","DCA","VA","BOS","MA",472,0,60,399
"8","7","OH","DCA","VA","MSY","LA",512,0,128,969
"7","1","YX","DCA","VA","CAE","SC",1182,1,64,408
"6","5","YX","DCA","VA","RDU","NC",1171,1,41,227
"4","6","OH","DCA","VA","BNA","TN",888,0,98,562
"7","7","B6","DCA","VA","BOS","MA",426,0,63,399
"6","1","WN","DCA","VA","HOU","TX",1033,0,157,1218
"6","1","OH","DCA","VA","OKC","OK",1227,0,153,1158
"7","6","OH","DCA","VA","MHT","NH",609,0,65,406
"4","4","YX","DCA","VA","STL","MO",828,0,118,719
"8","2","YV","DCA","VA","IAH","TX",775,0,160,1208
"7","4","YX","DCA","VA","ACK","MA",630,0,71,405
"6","4","9E","DCA","VA","CVG","KY",762,1,64,411
"7","4","WN","DCA","VA","BNA","TN",834,0,79,562
"6","1","9E","DCA","VA","CVG","KY",1015,0,63,411
"6","2","AA","DCA","VA","ORD","IL",435,0,92,612
"7","5","AA","DCA","VA","MCO","FL",1068,0,110,759
"8","3","YX","DCA","VA","PIT","PA",979,1,45,204
"7","3","OH","DCA","VA","ORF","VA",616,0,29,142
"6","2","AA","DCA","VA","LGA","NY",600,0,39,214
"5","2","WN","DCA","VA","DAL","TX",373,0,168,1184
"8","7","YX","DCA","VA","ATL","GA",732,0,87,547
"4","4","WN","DCA","VA","MDW","IL",885,0,96,601
"6","6","YX","DCA","VA","BDL","CT",897,0,52,313
"7","1","YX","DCA","VA","SDF","KY",1205,0,69,474
"4","3","AA","DCA","VA","BOS","MA",1068,0,58,399
"4","2","YX","DCA","VA","SDF","KY",1238,0,66,474
"4","7","WN","DCA","VA","MDW","IL",703,0,95,601
"6","1","YX","DCA","VA","MVY","MA",655,0,62,383
"8","3","YX","DCA","VA","IND","IN",899,0,77,500
"6","1","MQ","DCA","VA","PWM","ME",603,0,68,482
"8","5","OH","DCA","VA","CAK","OH",1179,0,47,274
"7","6","OH","DCA","VA","IND","IN",522,1,79,500
"8","4","YX","DCA","VA","CLT","NC",1226,1,54,331
"5","2","DL","DCA","VA","DTW","MI",756,1,64,405
"7","2","YX","DCA","VA","GSP","SC",752,0,68,396
"6","3","OH","DCA","VA","HSV","AL",505,0,90,613
"4","5","WN","DCA","VA","MDW","IL",388,0,98,601
"8","6","YV","DCA","VA","IAH","TX",508,0,156,1208
"7","3","WN","DCA","VA","DAL","TX",371,0,157,1184
"6","6","AA","DCA","VA","LAS","NV",519,0,273,2089
"8","7","AS","DCA","VA","PDX","OR",1149,0,305,2350
"7","5","OH","DCA","VA","ROC","NY",911,0,50,296
"6","4","OH","DCA","VA","ECP","FL",817,0,104,769
"4","4","AA","DCA","VA","BOS","MA",441,0,62,399
"7","4","AA","DCA","VA","JFK","NY",1253,0,44,213
"6","6","OH","DCA","VA","MSY","LA",834,0,133,969
"7","4","OH","DCA","VA","PIT","PA",608,0,40,204
"8","7","YX","DCA","VA","ATL","GA",734,0,75,547
"6","2","AA","DCA","VA","LGA","NY",471,0,39,214
"8","6","OH","DCA","VA","JAX","FL",514,0,98,634
"7","4","DL","DCA","VA","DTW","MI",773,0,66,405
"5","5","YV","DCA","VA","IAH","TX",357,0,151,1208
"4","1","AA","DCA","VA","DFW","TX",639,0,157,1192
"8","6","YV","DCA","VA","IAH","TX",885,0,158,1208
"8","2","YX","DCA","VA","CAE","SC",878,1,69,408
"8","4","OH","DCA","VA","BDL","CT",591,0,53,313
"7","5","OH","DCA","VA","MHT","NH",1009,1,66,406
"4","5","OH","DCA","VA","CLE","OH",591,0,57,310
"6","3","WN","DCA","VA","ATL","GA",954,0,77,547
"5","1","YX","DCA","VA","MSY","LA",1169,0,131,969
"8","4","DL","DCA","VA","DTW","MI",579,0,62,405
"4","6","YX","DCA","VA","JFK","NY",572,0,48,213
"5","6","MQ","DCA","VA","ORF","VA",594,0,33,142
"4","1","YX","DCA","VA","BDL","CT",1274,0,53,313
"5","7","YX","DCA","VA","SRQ","FL",515,0,114,851
"6","3","YV","DCA","VA","IAH","TX",356,0,149,1208
"8","3","YX","DCA","VA","RDU","NC",1188,0,47,227
"8","2","AA","DCA","VA","PHX","AZ",474,1,245,1979
"8","2","AA","DCA","VA","BOS","MA",1194,0,61,399
"7","2","9E","DCA","VA","CVG","KY",990,0,63,411
"7","5","YX","DCA","VA","PIT","PA",945,1,60,204
"8","3","AA","DCA","VA","LGA","NY",837,0,44,214
"7","2","WN","DCA","VA","BNA","TN",378,0,79,562
"7","2","OH","DCA","VA","HSV","AL",515,1,85,613
"8","4","YX","DCA","VA","ATL","GA",1016,1,95,547
"8","3","AS","DCA","VA","SEA","WA",475,1,301,2329
"6","2","AA","DCA","VA","BOS","MA",475,0,64,399
"7","2","YX","DCA","VA","ATL","GA",730,0,83,547
"8","3","AA","DCA","VA","ORD","IL",937,1,109,612
"8","3","UA","DCA","VA","SFO","CA",26,1,305,2442
"6","2","AA","DCA","VA","ORD","IL",886,0,95,612
"4","5","YX","DCA","VA","EWR","NJ",925,0,55,199
"5","3","YX","DCA","VA","EWR","NJ",446,0,58,199
"7","1","B6","DCA","VA","PBI","FL",695,1,118,857
"7","5","MQ","DCA","VA","CMH","OH",907,1,54,323
"5","4","AA","DCA","VA","LAX","CA",513,0,305,2311
"8","1","UA","DCA","VA","IAH","TX",1041,1,160,1208
"5","2","OH","DCA","VA","ORF","VA",1192,0,29,142
"8","7","OH","DCA","VA","CVG","KY",1312,0,64,411
"5","7","OH","DCA","VA","ECP","FL",597,1,114,769
"7","6","OH","DCA","VA","MYR","SC",837,0,62,372
"5","6","YX","DCA","VA","PBI","FL",872,0,116,857
"6","3","AA","DCA","VA","CLT","NC",332,0,51,331
"6","2","9E","DCA","VA","CVG","KY",978,0,66,411
"8","5","AA","DCA","VA","MIA","FL",355,0,127,919
"4","4","OH","DCA","VA","BTV","VT",590,0,70,437
"6","3","DL","DCA","VA","DTW","MI",357,0,61,405
"5","1","UA","DCA","VA","DEN","CO",985,0,202,1476
"6","5","WN","DCA","VA","MDW","IL",757,0,97,601
"8","7","MQ","DCA","VA","VPS","FL",899,1,106,789
"7","4","WN","DCA","VA","BNA","TN",360,0,89,562
"5","3","OH","DCA","VA","BNA","TN",729,0,85,562
"8","1","WN","DCA","VA","AUS","TX",1055,0,170,1315
"7","2","WN","DCA","VA","OMA","NE",805,0,140,1012
"5","1","WN","DCA","VA","ATL","GA",939,0,75,547
"8","6","OH","DCA","VA","TLH","FL",1178,0,104,716
"6","7","OH","DCA","VA","OKC","OK",1229,0,149,1158
"7","4","OH","DCA","VA","BTV","VT",930,0,67,437
"5","1","AA","DCA","VA","ORD","IL",619,0,100,612
"4","5","B6","DCA","VA","BOS","MA",561,0,62,399
"7","4","AA","DCA","VA","ORD","IL",435,0,96,612
"7","4","YX","DCA","VA","BDL","CT",1389,1,59,313
"6","4","B6","DCA","VA","BOS","MA",1049,1,85,399
"5","5","DL","DCA","VA","ATL","GA",415,0,77,547
"6","7","OH","DCA","VA","VPS","FL",522,1,118,789
"6","7","OH","DCA","VA","ORF","VA",608,0,30,142
"5","5","AA","DCA","VA","BOS","MA",1046,0,57,399
"7","5","DL","DCA","VA","DTW","MI",720,0,63,405
"8","2","AA","DCA","VA","DFW","TX",339,0,159,1192
"6","7","YX","DCA","VA","IND","IN",1231,0,77,500
"7","7","WN","DCA","VA","TPA","FL",367,0,110,814
"7","5","B6","DCA","VA","MVY","MA",892,0,61,383
"8","2","YX","DCA","VA","RDU","NC",834,0,43,227
"6","7","AA","DCA","VA","ORD","IL",876,0,87,612
"6","6","WN","DCA","VA","TPA","FL",363,0,111,814
"6","5","YX","DCA","VA","BGR","ME",599,0,78,590
"4","2","YX","DCA","VA","CMH","OH",1211,0,54,323
"8","2","OH","DCA","VA","GRR","MI",901,0,75,524
"6","5","OH","DCA","VA","MGM","AL",1257,0,95,693
"4","6","OH","DCA","VA","ECP","FL",504,1,155,769
"8","3","AA","DCA","VA","MIA","FL",600,0,122,919
"4","1","WN","DCA","VA","MCI","MO",904,0,133,949
"6","6","OH","DCA","VA","AVL","NC",650,0,63,384
"5","5","OH","DCA","VA","PVD","RI",947,0,65,356
"7","5","YX","DCA","VA","BNA","TN",1418,1,82,562
"7","4","YX","DCA","VA","LGA","NY",689,1,42,214
"5","3","UA","DCA","VA","DEN","CO",966,0,212,1476
"8","5","YX","DCA","VA","ACK","MA",903,0,67,405
"5","6","YX","DCA","VA","TPA","FL",1185,0,120,814
"7","2","YX","DCA","VA","GSP","SC",755,0,62,396
"7","4","YX","DCA","VA","LGA","NY",1314,0,41,214
"5","6","AA","DCA","VA","DFW","TX",543,0,174,1192
"4","4","YX","DCA","VA","ORD","IL",1034,0,126,612
"6","5","YX","DCA","VA","RDU","NC",1071,0,44,227
"8","2","OH","DCA","VA","DAY","OH",598,0,62,391
"4","1","AA","DCA","VA","CLT","NC",647,0,62,331
"6","1","AA","DCA","VA","MCO","FL",507,0,106,759
"6","3","YX","DCA","VA","MEM","TN",1312,1,109,762
"7","1","YX","DCA","VA","CLE","OH",6,1,49,310
"7","2","YX","DCA","VA","MSY","LA",508,0,136,969
"8","2","AA","DCA","VA","CLT","NC",639,0,65,331
"6","3","YX","DCA","VA","BNA","TN",952,1,87,562
"4","2","YX","DCA","VA","RSW","FL",830,0,135,892
"6","5","MQ","DCA","VA","CVG","KY",1304,1,63,411
"8","6","MQ","DCA","VA","CMH","OH",925,0,59,323
"4","6","YX","DCA","VA","JFK","NY",575,0,44,213
"4","4","YX","DCA","VA","BDL","CT",894,0,52,313
"8","7","MQ","DCA","VA","CVG","KY",610,0,64,411
"8","7","YX","DCA","VA","DSM","IA",919,0,124,897
"8","2","AA","DCA","VA","CLT","NC",698,1,52,331
"5","7","YX","DCA","VA","JAX","FL",895,0,93,634
"4","7","WN","DCA","VA","MSY","LA",847,0,145,969
"4","2","9E","DCA","VA","CVG","KY",858,0,74,411
"6","5","YX","DCA","VA","JFK","NY",366,0,43,213
"6","6","OH","DCA","VA","STL","MO",878,1,105,719
"4","5","AA","DCA","VA","LAS","NV",510,0,276,2089
"4","3","AA","DCA","VA","MIA","FL",809,0,122,919
"5","5","AA","DCA","VA","LGA","NY",536,0,43,214
"8","7","AA","DCA","VA","MCO","FL",1069,0,107,759
"7","5","AS","DCA","VA","SEA","WA",1208,1,309,2329
"7","2","YX","DCA","VA","BOS","MA",669,0,66,399
"7","2","OH","DCA","VA","SDF","KY",836,0,82,474
"6","3","AA","DCA","VA","BOS","MA",1307,1,61,399
"6","2","YX","DCA","VA","ATL","GA",1023,1,84,547
"8","3","YV","DCA","VA","IAH","TX",779,0,162,1208
"4","6","YX","DCA","VA","TPA","FL",835,0,123,814
"7","5","OH","DCA","VA","ALB","NY",598,0,58,318
"6","3","YX","DCA","VA","LGA","NY",1326,0,44,214
"5","6","OH","DCA","VA","BDL","CT",26,1,49,313
"4","4","WN","DCA","VA","MCO","FL",891,1,103,759
"4","4","WN","DCA","VA","MDW","IL",890,0,99,601
"8","3","AA","DCA","VA","MCO","FL",819,0,108,759
"8","5","OH","DCA","VA","GSO","NC",503,0,42,248
"5","6","DL","DCA","VA","ATL","GA",873,0,80,547
"7","1","AA","DCA","VA","LGA","NY",473,0,43,214
"7","5","YX","DCA","VA","MSP","MN",949,1,144,931
"6","6","AA","DCA","VA","MCO","FL",1070,0,106,759
"7","2","YX","DCA","VA","JFK","NY",962,0,46,213
"6","6","YX","DCA","VA","BGR","ME",591,0,83,590
"4","6","OH","DCA","VA","PHL","PA",399,0,41,119
"6","7","AA","DCA","VA","CLT","NC",1165,1,55,331
"8","1","OH","DCA","VA","HPN","NY",604,0,61,234
"7","2","AA","DCA","VA","LGA","NY",707,1,38,214
"8","4","OH","DCA","VA","JAX","FL",506,1,97,634
"4","1","AA","DCA","VA","MIA","FL",422,0,147,919
"8","6","DL","DCA","VA","LAX","CA",1058,0,292,2311
"7","5","YX","DCA","VA","BNA","TN",915,0,88,562
"7","4","YX","DCA","VA","HSV","AL",1115,1,88,613
"7","5","AA","DCA","VA","JFK","NY",898,0,47,213
"7","4","AA","DCA","VA","ORD","IL",355,0,105,612
"6","6","AA","DCA","VA","DFW","TX",566,0,146,1192
"5","6","WN","DCA","VA","DAL","TX",422,0,168,1184
"6","4","AA","DCA","VA","ORD","IL",359,0,91,612
"5","7","DL","DCA","VA","MSP","MN",1078,0,132,931
"6","6","B6","DCA","VA","MCO","FL",411,0,102,759
"5","5","OH","DCA","VA","DSM","IA",904,0,124,897
"6","1","OH","DCA","VA","ALB","NY",597,0,58,318
"7","4","AA","DCA","VA","RSW","FL",1146,1,122,892
"7","1","YX","DCA","VA","MSP","MN",919,0,121,931
